POS	iSAFE	DAF
10991390	0.047599853551432064	0.043478260869565216
11079468	0.0072286649401595935	0.17391304347826086
11083095	0.027924366737642176	0.20652173913043478
11097777	0.019302376158173283	0.41304347826086957
11099022	0.02147571683911635	0.03260869565217391
11151452	0.013035225017637818	0.8478260869565217
11158962	0.010555729299820994	0.06521739130434782
11160765	0.012794090395259344	0.05434782608695652
11183616	0.00963103803344649	0.06521739130434782
11189902	0.01540740316067685	0.043478260869565216
11209311	0.022410204301464287	0.10869565217391304
11211196	0.02851928878306808	0.09782608695652174
11222342	0.02147571683911635	0.03260869565217391
11237684	0.019962073490832274	0.03260869565217391
11287976	0.020066093673204083	0.9456521739130435
11393672	0.011452478388505681	0.7717391304347826
11405246	0.011452478388505681	0.7717391304347826
11410094	0.011452478388505681	0.7717391304347826
11423927	0.0037105337875892454	0.021739130434782608
11434041	0.011398778073213042	0.7717391304347826
11438357	0.044277658487033716	0.06521739130434782
11445098	0.009816526078035421	0.782608695652174
11451445	0.009816526078035421	0.782608695652174
11456373	0.011398778073213042	0.7717391304347826
11458811	0.00984243971136857	0.782608695652174
11460285	0.00984243971136857	0.782608695652174
11503735	0.03605806566669825	0.07608695652173914
11509634	0.015119944016717441	0.532608695652174
11522639	0.0037105337875892454	0.021739130434782608
11526479	0.012725597080086257	0.8586956521739131
11543986	0.0039628332266930895	0.021739130434782608
11557607	0.0039628332266930895	0.021739130434782608
11566413	0.021582962369919096	0.03260869565217391
11583597	0.014157749123316236	0.043478260869565216
11615664	0.05157542763007621	0.043478260869565216
11617357	0.02386727007028453	0.06521739130434782
11689210	0.01738939908416174	0.07608695652173914
11694131	0.07269850394028238	0.03260869565217391
11738378	0.04289453103411341	0.9456521739130435
11748406	0.008631187800912552	0.391304347826087
11813300	0.009919662478927367	0.021739130434782608
11835859	0.02453017170691493	0.14130434782608695
11852171	0.02873385890006343	0.021739130434782608
11893516	0.07269850394028238	0.03260869565217391
11920990	0.03170919529684433	0.043478260869565216
11978602	0.07269850394028238	0.03260869565217391
11979488	0.07269850394028238	0.03260869565217391
12046799	0.046567560666342406	0.03260869565217391
12129743	0.0663485695786795	0.05434782608695652
12132304	0.046567560666342406	0.03260869565217391
12134259	0.05200604964117143	0.06521739130434782
12148701	0.0663485695786795	0.05434782608695652
12182646	0.01706696465319662	0.043478260869565216
12211273	0.01680410895707863	0.7717391304347826
12215603	0.01272210333876395	0.17391304347826086
12242054	0.01795656727492658	0.17391304347826086
12291019	0.009358882851506238	0.3804347826086957
12296639	0.012400874064977805	0.2608695652173913
12298013	0.04590229199381821	0.8695652173913043
12315591	0.033037879278510936	0.4673913043478261
12321069	0.04617558945155293	0.5543478260869565
12329213	0.01706696465319662	0.043478260869565216
12342614	0.04512779052320832	0.9021739130434783
12363417	0.05687337100636741	0.07608695652173914
12384502	0.037857484338468785	0.03260869565217391
12384677	0.037857484338468785	0.03260869565217391
12410839	0.037857484338468785	0.03260869565217391
12433491	0.07027216945111033	0.9456521739130435
12433534	0.07027216945111033	0.9456521739130435
12434358	0.07027216945111033	0.9456521739130435
12456170	0.0708578645614699	0.9456521739130435
12512018	0.033477555908062444	0.9239130434782609
12514412	0.04225071901286544	0.9130434782608695
12523416	0.060129678599066164	0.34782608695652173
12562408	0.04969807150418335	0.33695652173913043
12564292	0.044983064545064184	0.358695652173913
12569205	0.018857270131567357	0.2391304347826087
12606015	0.029447659799075994	0.7934782608695652
12612438	0.04989718182310911	0.20652173913043478
12688579	0.06784673396662481	0.11956521739130435
12743932	0.04004810885184069	0.15217391304347827
12761323	0.04004810885184069	0.15217391304347827
