P16	10966450	0.478261	0.0279057	0.0142719	0.291212
P28	10976524	0.271739	0.0356744	0.0262267	0.133613
P37	10985116	0.282609	0.0221581	0.0178639	0.0935561
P41	10986902	0.532609	0.0806546	0.00670804	1.08003
P43	10989662	0.0543478	0.131747	0.0391141	0.527406
P44	10990100	0.25	0.0696208	0.0660995	0.0225409
P45	10990178	0.0869565	0.195449	0.0834357	0.369681
P59	11000446	0.304348	0.0652624	0.171785	-0.420323
P60	11000696	0.902174	0.0793731	0.024832	0.504662
P62	11008443	0.0543478	0.212849	0.13807	0.187974
P64	11009362	0.0869565	0.301138	0.150209	0.302071
P66	11012426	0.0543478	0.245339	0.107872	0.356855
P67	11014572	0.23913	0.158304	0.16309	-0.0129349
P69	11019047	0.695652	0.169186	0.140304	0.0812949
P70	11019966	0.173913	0.140152	0.105686	0.122578
P71	11020262	0.315217	0.0033003	0.17124	-1.71505
P72	11020719	0.130435	0.262037	0.117671	0.347692
P75	11021849	0.184783	0.17382	0.0324843	0.728425
P76	11022041	0.0652174	0.139456	0.0350016	0.600349
P80	11024358	0.130435	0.229123	0.0444489	0.712208
P81	11025450	0.0978261	0.290729	0.0425465	0.834625
P88	11030692	0.206522	0.0478677	0.0455993	0.0210845
P89	11030793	0.173913	0.00790099	0.0405553	-0.710366
P90	11031993	0.728261	0.0447869	0.00321899	1.14343
P91	11034172	0.793478	0.0406358	0.00109367	1.57002
P93	11037954	0.152174	0.0362487	0.0190178	0.280133
P96	11045074	0.630435	0.0713368	0.0218377	0.514106
P99	11046593	0.0543478	0.201822	0.0181706	1.0456
P108	11057738	0.315217	0.0363116	0.0318988	0.0562701
P111	11059730	0.119565	0.187152	0.021258	0.944672
P115	11064348	0.836957	0.0217612	0.0201439	0.033541
P119	11069054	0.0652174	0.321125	0.0132792	1.3835
P120	11072956	0.456522	0.0810186	0.0515112	0.196684
P123	11074642	0.913043	0.0510005	0.0884949	-0.239344
P124	11078304	0.826087	0.0610915	0.048264	0.102358
P125	11078397	0.076087	0.168125	0.0524426	0.505949
